i,timestamp,prev_timestamp,delta,difficulty,boundary
242,1515667740,1515667723,17,823,140695126655305219226696215077385064220255145401750381578927805598922393244
243,1515667750,1515667740,10,1234,93834756270110369062861414107526667628257686114781656433920246359735113160
244,1515667850,1515667750,100,1928,60058137571222093062018145751394143077422191216618549812996672203274444833
245,1515667868,1515667850,18,1205,96093020113955348899229033202230628923875505946589679700794675525239111734
246,1515667900,1515667868,32,1732,66854554986903115140629898965755143102349875673002635126707612013806656835
247,1515668045,1515667900,145,2273,50942406175678044621016711398454864871654194749511906748551510782187914491
248,1515668055,1515668045,10,285,406288032411635773416038543890133010011473630405756365050728364940046068912
249,1515668065,1515668055,10,445,260206942106328529041732550581321141243303336327282166380803559568344111550
250,1515668091,1515668065,26,695,166607322643620425069886309365018572450748179375022394301377818716421769266
251,1515668121,1515668091,30,955,121248260981482927145100507862500427071486894937843522554405847128704847790
252,1515668160,1515668121,39,1253,92411882870962645988484425386023868997023132215195980877460162815573128204
253,1515668201,1515668160,41,1566,73941308580661682901386325037476314082547882928250679463255162201732522120
254,1515668211,1515668201,10,1957,59168160059946957293597846197592185924001014136760635686999276447579524598
255,1515668231,1515668211,20,3057,37877687025618644234076213610954500442679092137926255819253380440926767955
256,1515668241,1515668231,10,4394,26352318897887163273457210971481089634335453952125754219266632682729433236
257,1515668281,1515668241,40,6865,16867019553869802683695700656764443969886377955665049386665343628246632139
258,1515668743,1515668281,462,8581,13494008767896072185476166531719835433314297245733663214014402051965170684
259,1515668743,1515668743,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
260,1515668743,1515668743,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
261,1515668744,1515668743,1,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
262,1515668745,1515668744,1,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
263,1515668746,1515668745,1,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
264,1515668747,1515668746,1,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
265,1515668750,1515668747,3,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
266,1515668751,1515668750,1,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
267,1515668755,1515668751,4,56,2067715879237789203992339018012284068808392583315010072133171142998448743570
268,1515668757,1515668755,2,91,1272440541069408740918362472622944042343626205116929275158874549537506919120
269,1515668765,1515668757,8,147,787701287328681601520891054480870121450816222215241932241208054475599521360
270,1515668768,1515668765,3,229,505642311079983386129130938902567283202052334784456611526015650689576985327
271,1515668772,1515668768,4,372,311269057089559665117126303786795451218467700714087537740477376365357875376
272,1515668792,1515668772,20,604,191708757015424164608561233458092562670976795804040668939499311271379353708
273,1515668841,1515668792,49,868,133401024466954142193054130194340907665057586020323230460204589870867660875
274,1515668881,1515668841,40,976,118639435693971511704478468246606462964415967895123528728952442631058534467
275,1515668931,1515668881,50,1220,94911548555177209363582774597285170371532774316098822983161954104846827573
276,1515668941,1515668931,10,1372,84396566499501600162952612980093227298301738094490207025843720122385663002
277,1515668953,1515668941,12,2143,54032706130338868606426031268636447901665881785179917890554168925764409538
278,1515669047,1515668953,94,3214,36027407976762973062716547918073400078802110972507953963739136281242417436
279,1515669103,1515669047,56,2210,52394610514622712861344337108003578214149314328344146624188952039779696669
280,1515669163,1515669103,60,2348,49315199845535006568812174194500812543982105905298366285970010224835234088
281,1515669179,1515669163,16,2348,49315199845535006568812174194500812543982105905298366285970010224835234088
282,1515669293,1515669179,114,3522,32876799897023337712541449463000541695988070603532244190646673483223489392
283,1515669314,1515669293,21,1541,75140875559582216368313423107519732545924714254147024035988049323759331369
284,1515669369,1515669314,55,2215,52276338256124693193485772012951651401024823776812895728874755759780193968
285,1515669393,1515669369,24,2353,49210407665667741361483631537903913239808748264190634950895700810842809026
286,1515669502,1515669393,109,3235,35793536085723708013468619786302289908275111179487036797359376818520287369
287,1515669520,1515669502,18,1618,71564950084867858729030275036271883716483303254413203979887258348524802002
288,1515669552,1515669520,32,2325,49803049134329546418740208605887272194954832114254006038476380218457260060
289,1515669583,1515669552,31,3051,37952176085649359365313334974987842626440506281756985919192915112393683920
